trial_number,params,fold_rmses,mean_rmse
28,"{'lookback': 39, 'filters': 30, 'kernel_size': 2, 'lstm_units': 64, 'dense_units': 39, 'dropout_rate': 0.39653493407043033, 'learning_rate': 0.005460273094465247, 'l2_reg': 0.00030193752655376533, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006275570329492172), np.float64(0.006234720272824556), np.float64(0.012147951958541086), np.float64(0.008819087466642117), np.float64(0.007556937041847101)]",0.008206853413869408
29,"{'lookback': 37, 'filters': 26, 'kernel_size': 2, 'lstm_units': 53, 'dense_units': 35, 'dropout_rate': 0.44697873254907416, 'learning_rate': 0.003484358382009667, 'l2_reg': 0.00041498641778331153, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006255721754635571), np.float64(0.006259830652770878), np.float64(0.01214756592107352), np.float64(0.008815329146965893), np.float64(0.0075903277620673)]",0.008213755047502633
30,"{'lookback': 39, 'filters': 30, 'kernel_size': 2, 'lstm_units': 44, 'dense_units': 33, 'dropout_rate': 0.4794579609470557, 'learning_rate': 0.004934190903407284, 'l2_reg': 0.00041176653221103754, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006344344907716784), np.float64(0.006276913865290477), np.float64(0.012155783739206238), np.float64(0.008812449557879454), np.float64(0.007558891567411818)]",0.008229676727500955
31,"{'lookback': 35, 'filters': 38, 'kernel_size': 4, 'lstm_units': 85, 'dense_units': 37, 'dropout_rate': 0.410071269553647, 'learning_rate': 0.0061515973372846516, 'l2_reg': 0.0002134650350839153, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006250303480068303), np.float64(0.006230434149674592), np.float64(0.012158087264567111), np.float64(0.008816904305300324), np.float64(0.007557706764544406)]",0.008202687192830948
32,"{'lookback': 35, 'filters': 42, 'kernel_size': 4, 'lstm_units': 73, 'dense_units': 36, 'dropout_rate': 0.42910592032434314, 'learning_rate': 0.005475068453654014, 'l2_reg': 0.0002049982249159211, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006259973778162502), np.float64(0.006238385298429643), np.float64(0.012147957326270251), np.float64(0.00883549639965534), np.float64(0.007560863937797628)]",0.008208535348063073
33,"{'lookback': 33, 'filters': 34, 'kernel_size': 2, 'lstm_units': 90, 'dense_units': 24, 'dropout_rate': 0.40594328558810866, 'learning_rate': 0.007320024323156739, 'l2_reg': 0.00026583345079622694, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006256618605275603), np.float64(0.006234253222567277), np.float64(0.01214067891151847), np.float64(0.008820814755818954), np.float64(0.007555520374735299)]",0.008201577173983121
35,"{'lookback': 33, 'filters': 32, 'kernel_size': 2, 'lstm_units': 93, 'dense_units': 26, 'dropout_rate': 0.3793544282094358, 'learning_rate': 0.0074490206742164914, 'l2_reg': 0.0002579727200066779, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006257011898396014), np.float64(0.00623192816029418), np.float64(0.01214751197989339), np.float64(0.00882342585583826), np.float64(0.007555297606769696)]",0.008203035100238306
37,"{'lookback': 30, 'filters': 30, 'kernel_size': 2, 'lstm_units': 83, 'dense_units': 26, 'dropout_rate': 0.39915038277241466, 'learning_rate': 0.006381400767090646, 'l2_reg': 0.00015463017077980322, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006252626371251148), np.float64(0.0062285031239054075), np.float64(0.012151304794487176), np.float64(0.008829791054644104), np.float64(0.007562051086177491)]",0.008204855286093065
38,"{'lookback': 34, 'filters': 32, 'kernel_size': 2, 'lstm_units': 89, 'dense_units': 29, 'dropout_rate': 0.4496395802027536, 'learning_rate': 0.005229935800253879, 'l2_reg': 0.00022397911689128115, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0062723272545101814), np.float64(0.006224066509717032), np.float64(0.012149680200974575), np.float64(0.008812032252783462), np.float64(0.007560787482549711)]",0.008203778740106993
39,"{'lookback': 33, 'filters': 40, 'kernel_size': 3, 'lstm_units': 76, 'dense_units': 37, 'dropout_rate': 0.42331733883173495, 'learning_rate': 0.0066882019591562245, 'l2_reg': 0.00033729760511298025, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006253930740155354), np.float64(0.006224263674449392), np.float64(0.01216214530138946), np.float64(0.00881433359688136), np.float64(0.007581182811536428)]",0.008207171224882398
