trial_number,params,fold_rmses,mean_rmse
35,"{'lookback': 17, 'filters': 34, 'kernel_size': 4, 'lstm_units': 114, 'dense_units': 37, 'dropout_rate': 0.4134828074248761, 'learning_rate': 0.0035525810521922965, 'l2_reg': 0.0004970044953100453, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012802225327228963), np.float64(0.012271207899883436), np.float64(0.0266261168136538), np.float64(0.018752798569978902), np.float64(0.018715539895623277)]",0.017833577701273674
36,"{'lookback': 16, 'filters': 43, 'kernel_size': 4, 'lstm_units': 119, 'dense_units': 39, 'dropout_rate': 0.35403932186927795, 'learning_rate': 0.004899220634028127, 'l2_reg': 0.00023357676695775307, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012766273496370944), np.float64(0.012267502153076724), np.float64(0.026622576748364827), np.float64(0.018737626485882748), np.float64(0.018682308730209807)]",0.017815257522781007
37,"{'lookback': 18, 'filters': 43, 'kernel_size': 3, 'lstm_units': 119, 'dense_units': 39, 'dropout_rate': 0.3555124541902906, 'learning_rate': 0.004523074381789375, 'l2_reg': 0.00022435708731663887, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012808344925548913), np.float64(0.012258406183064037), np.float64(0.026614601227522013), np.float64(0.018767573485587597), np.float64(0.01870693003462003)]",0.017831171171268517
38,"{'lookback': 16, 'filters': 27, 'kernel_size': 3, 'lstm_units': 121, 'dense_units': 47, 'dropout_rate': 0.3264257350868819, 'learning_rate': 0.004499831302670083, 'l2_reg': 0.00039686391776673236, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012794667099577743), np.float64(0.01225926098175609), np.float64(0.02662326091256233), np.float64(0.018767700863214973), np.float64(0.018688954155187638)]",0.01782676880245975
39,"{'lookback': 16, 'filters': 40, 'kernel_size': 4, 'lstm_units': 124, 'dense_units': 42, 'dropout_rate': 0.3388257436773581, 'learning_rate': 0.004822674046120487, 'l2_reg': 0.00024911666396981757, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012814715977970131), np.float64(0.012266777417108406), np.float64(0.02662148498552415), np.float64(0.018730512498973204), np.float64(0.01868130787371032)]",0.01782295975065724
40,"{'lookback': 22, 'filters': 32, 'kernel_size': 4, 'lstm_units': 127, 'dense_units': 39, 'dropout_rate': 0.31943356159173647, 'learning_rate': 0.004038043098840337, 'l2_reg': 0.00029769100547032834, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012776087474180941), np.float64(0.012262633391886804), np.float64(0.026629176010832874), np.float64(0.01874359183780022), np.float64(0.01868817365150419)]",0.017819932473241006
42,"{'lookback': 17, 'filters': 41, 'kernel_size': 4, 'lstm_units': 131, 'dense_units': 38, 'dropout_rate': 0.3497534917178457, 'learning_rate': 0.0016896664289153716, 'l2_reg': 0.00014438615737349136, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012717669584616696), np.float64(0.012248115057417481), np.float64(0.02678554535709952), np.float64(0.01875816792025842), np.float64(0.018610570020151384)]",0.0178240135879087
43,"{'lookback': 13, 'filters': 43, 'kernel_size': 4, 'lstm_units': 123, 'dense_units': 35, 'dropout_rate': 0.3915219716434938, 'learning_rate': 0.002797068210996683, 'l2_reg': 0.0002598251256748714, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012815545796427944), np.float64(0.012261788663313372), np.float64(0.026625810548427317), np.float64(0.018767614555570054), np.float64(0.018670661703742368)]",0.017828284253496213
47,"{'lookback': 17, 'filters': 44, 'kernel_size': 4, 'lstm_units': 113, 'dense_units': 43, 'dropout_rate': 0.3435031855075114, 'learning_rate': 0.003781042681992138, 'l2_reg': 0.00020228406061666677, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012763241200641538), np.float64(0.012249051824309569), np.float64(0.026583797714887822), np.float64(0.01874051914809256), np.float64(0.018710551664261964)]",0.01780943231043869
48,"{'lookback': 19, 'filters': 44, 'kernel_size': 4, 'lstm_units': 113, 'dense_units': 43, 'dropout_rate': 0.3421664298641077, 'learning_rate': 0.003976873571127408, 'l2_reg': 0.00020525650984629608, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0128755857475123), np.float64(0.012262895495431612), np.float64(0.026624880934397528), np.float64(0.01875938741588844), np.float64(0.01867974164263509)]",0.017840498247172994
