trial_number,params,fold_rmses,mean_rmse
25,"{'lookback': 28, 'filters': 45, 'kernel_size': 2, 'lstm_units': 101, 'dense_units': 19, 'dropout_rate': 0.18037075574919975, 'learning_rate': 0.0031738774824154876, 'l2_reg': 0.00045141809209069963, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.01304223915104441), np.float64(0.01229892071732745), np.float64(0.0266298800503075), np.float64(0.018760621362263346), np.float64(0.018693539585926327)]",0.01788504017337381
26,"{'lookback': 28, 'filters': 37, 'kernel_size': 2, 'lstm_units': 115, 'dense_units': 24, 'dropout_rate': 0.20874846124719487, 'learning_rate': 0.005964075047511316, 'l2_reg': 0.0005643300201206571, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012834303646441883), np.float64(0.01230262341132036), np.float64(0.02662786578057609), np.float64(0.018790428583889813), np.float64(0.018708017415295417)]",0.017852647767504712
29,"{'lookback': 16, 'filters': 25, 'kernel_size': 2, 'lstm_units': 120, 'dense_units': 21, 'dropout_rate': 0.2648582234645963, 'learning_rate': 0.001332990870246217, 'l2_reg': 0.00011120924677916726, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.01283101389447757), np.float64(0.012303706793089682), np.float64(0.026811236144507002), np.float64(0.01893373017891813), np.float64(0.018627229668412675)]",0.01790138333588101
32,"{'lookback': 28, 'filters': 59, 'kernel_size': 3, 'lstm_units': 113, 'dense_units': 35, 'dropout_rate': 0.36199100545995644, 'learning_rate': 0.0028030553521602637, 'l2_reg': 0.0007267715495128059, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.01284699023354572), np.float64(0.012302136390226823), np.float64(0.02663467397939022), np.float64(0.018803129323050994), np.float64(0.01865612710216782)]",0.017848611405676316
33,"{'lookback': 23, 'filters': 50, 'kernel_size': 3, 'lstm_units': 77, 'dense_units': 41, 'dropout_rate': 0.233862267979192, 'learning_rate': 0.0014784115319548805, 'l2_reg': 0.0006177218922491536, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012893880717573537), np.float64(0.012268720208750649), np.float64(0.026637583448085134), np.float64(0.018726210243062404), np.float64(0.018720307380416055)]",0.017849340399577557
35,"{'lookback': 25, 'filters': 45, 'kernel_size': 4, 'lstm_units': 98, 'dense_units': 23, 'dropout_rate': 0.19582680252094262, 'learning_rate': 0.0036502047914903748, 'l2_reg': 0.0005449315234878477, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012820699809430432), np.float64(0.012291097620760954), np.float64(0.026658879734535682), np.float64(0.018785173276170138), np.float64(0.018676625433017336)]",0.017846495174782907
36,"{'lookback': 27, 'filters': 57, 'kernel_size': 2, 'lstm_units': 89, 'dense_units': 19, 'dropout_rate': 0.2511196572301609, 'learning_rate': 0.006440794180957438, 'l2_reg': 0.0002647166917843722, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.01278310316379264), np.float64(0.012274279699681829), np.float64(0.02662683818816299), np.float64(0.01873490079185663), np.float64(0.01870380863222639)]",0.017824586095144097
38,"{'lookback': 18, 'filters': 58, 'kernel_size': 2, 'lstm_units': 87, 'dense_units': 21, 'dropout_rate': 0.21428811973077938, 'learning_rate': 0.0079008476766467, 'l2_reg': 0.0002401090904995902, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012877287460866945), np.float64(0.012298950745103544), np.float64(0.02662313359815048), np.float64(0.01888574739222391), np.float64(0.018679752230228917)]",0.017872974285314758
41,"{'lookback': 28, 'filters': 57, 'kernel_size': 2, 'lstm_units': 91, 'dense_units': 39, 'dropout_rate': 0.26692631226116925, 'learning_rate': 0.004655650296343992, 'l2_reg': 0.0006376127468285943, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.01285588767436384), np.float64(0.012292753794664168), np.float64(0.026622520138178056), np.float64(0.0187559782283866), np.float64(0.018735475261633855)]",0.017852523019445305
43,"{'lookback': 27, 'filters': 47, 'kernel_size': 4, 'lstm_units': 97, 'dense_units': 44, 'dropout_rate': 0.24091195636804066, 'learning_rate': 0.002497945452838031, 'l2_reg': 0.0006261374526395384, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012759110770815568), np.float64(0.012293524997194764), np.float64(0.026668514329901312), np.float64(0.01869912885687188), np.float64(0.018779132023467485)]",0.017839882195650202
45,"{'lookback': 22, 'filters': 56, 'kernel_size': 3, 'lstm_units': 104, 'dense_units': 26, 'dropout_rate': 0.2789704304271841, 'learning_rate': 0.0020588090851799733, 'l2_reg': 0.0004737634872812682, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012831871188440687), np.float64(0.01223615992704484), np.float64(0.026674214957010483), np.float64(0.018737983123171282), np.float64(0.018706129104121883)]",0.017837271659957833
47,"{'lookback': 24, 'filters': 53, 'kernel_size': 3, 'lstm_units': 160, 'dense_units': 32, 'dropout_rate': 0.3550138971436773, 'learning_rate': 0.0048651211905529415, 'l2_reg': 0.000789238206530246, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012813889683928806), np.float64(0.012257712527686471), np.float64(0.026646546908731136), np.float64(0.018787895455326536), np.float64(0.018677478489435052)]",0.017836704613021604
48,"{'lookback': 28, 'filters': 50, 'kernel_size': 2, 'lstm_units': 125, 'dense_units': 16, 'dropout_rate': 0.25483096049221554, 'learning_rate': 0.006900557364977699, 'l2_reg': 0.0006296818780751254, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012780904453372868), np.float64(0.012268664143281273), np.float64(0.026647032375732155), np.float64(0.01874389098658416), np.float64(0.01867934682062641)]",0.017823967755919372
49,"{'lookback': 28, 'filters': 50, 'kernel_size': 2, 'lstm_units': 127, 'dense_units': 16, 'dropout_rate': 0.25538959292247687, 'learning_rate': 0.00670115047428382, 'l2_reg': 0.00027049680229311216, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.01280943085799865), np.float64(0.012256734894101645), np.float64(0.026633866269924703), np.float64(0.018763334805379433), np.float64(0.018676456896939038)]",0.017827964744868696
50,"{'lookback': 21, 'filters': 50, 'kernel_size': 2, 'lstm_units': 131, 'dense_units': 17, 'dropout_rate': 0.2559468383495611, 'learning_rate': 0.006721611468563697, 'l2_reg': 0.00015414680092859276, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012906086040609395), np.float64(0.012257082375756295), np.float64(0.026617586235956135), np.float64(0.018752274175754008), np.float64(0.01872731349418348)]",0.01785206846445186
