trial_number,params,fold_rmses,mean_rmse
24,"{'lookback': 29, 'filters': 49, 'kernel_size': 2, 'lstm_units': 62, 'dense_units': 45, 'dropout_rate': 0.4252199130034369, 'learning_rate': 0.006977949295212446, 'l2_reg': 0.0005094689854303605, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006245073029328114), np.float64(0.006297008250887707), np.float64(0.012171731788332614), np.float64(0.008815560949778294), np.float64(0.007573183377280103)]",0.008220511479121366
25,"{'lookback': 30, 'filters': 35, 'kernel_size': 3, 'lstm_units': 38, 'dense_units': 38, 'dropout_rate': 0.3692634259524755, 'learning_rate': 0.002283760125992486, 'l2_reg': 0.0003523209945153633, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006231469347322331), np.float64(0.0062736236842164984), np.float64(0.01216054182847351), np.float64(0.008880057756011563), np.float64(0.007558556366292511)]",0.008220849796463283
26,"{'lookback': 31, 'filters': 47, 'kernel_size': 4, 'lstm_units': 49, 'dense_units': 48, 'dropout_rate': 0.32397312567382686, 'learning_rate': 0.00493745113306089, 'l2_reg': 0.000604404485329328, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006300596649767802), np.float64(0.006224628296779548), np.float64(0.012131651441645403), np.float64(0.008828154315671442), np.float64(0.007595114185549672)]",0.008216028977882773
27,"{'lookback': 36, 'filters': 41, 'kernel_size': 3, 'lstm_units': 32, 'dense_units': 44, 'dropout_rate': 0.41347254310744896, 'learning_rate': 0.0037028801376862053, 'l2_reg': 0.00021883462193024976, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006278647812718378), np.float64(0.0062534533995779375), np.float64(0.012137580403046697), np.float64(0.008820669193860858), np.float64(0.0075828450923864895)]",0.008214639180318072
28,"{'lookback': 24, 'filters': 56, 'kernel_size': 2, 'lstm_units': 56, 'dense_units': 29, 'dropout_rate': 0.4578150940746214, 'learning_rate': 0.006816747934894639, 'l2_reg': 0.0010144285588757954, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006254916471336881), np.float64(0.006277344855333225), np.float64(0.012149370880693944), np.float64(0.00885641986252603), np.float64(0.0076143572715154095)]",0.008230481868281098
29,"{'lookback': 27, 'filters': 63, 'kernel_size': 4, 'lstm_units': 45, 'dense_units': 38, 'dropout_rate': 0.3744719862757186, 'learning_rate': 0.001918194817725672, 'l2_reg': 0.00011656042527686939, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.0062301291810836264), np.float64(0.00623485581275578), np.float64(0.012152584595529797), np.float64(0.00883480180336294), np.float64(0.007606352041444927)]",0.008211744686835415
30,"{'lookback': 27, 'filters': 62, 'kernel_size': 4, 'lstm_units': 45, 'dense_units': 37, 'dropout_rate': 0.3086399775476014, 'learning_rate': 0.0018495618216578125, 'l2_reg': 0.00010107764470929034, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006256599617070482), np.float64(0.00624876600671969), np.float64(0.012174570007241488), np.float64(0.00881785823762797), np.float64(0.00764688714200491)]",0.008228936202132909
31,"{'lookback': 28, 'filters': 54, 'kernel_size': 4, 'lstm_units': 40, 'dense_units': 34, 'dropout_rate': 0.38033982671808625, 'learning_rate': 0.008390616914089679, 'l2_reg': 0.00021409321379489926, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006265379772470767), np.float64(0.006233418962362512), np.float64(0.012156485968903445), np.float64(0.008848677886404768), np.float64(0.007628193723414047)]",0.008226431262711107
33,"{'lookback': 27, 'filters': 64, 'kernel_size': 3, 'lstm_units': 62, 'dense_units': 31, 'dropout_rate': 0.4025055961185389, 'learning_rate': 0.003694491665195195, 'l2_reg': 0.00010995152878854201, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006251464861942678), np.float64(0.006211512533146297), np.float64(0.012130816818209884), np.float64(0.008837632340368247), np.float64(0.007582793101771786)]",0.008202843931087778
34,"{'lookback': 27, 'filters': 64, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 31, 'dropout_rate': 0.36158568257669865, 'learning_rate': 0.0018389670781665266, 'l2_reg': 0.00011103716966736886, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006305125940742676), np.float64(0.006249974033163094), np.float64(0.012189844877380151), np.float64(0.008942341543773233), np.float64(0.007582278132741396)]",0.00825391290556011
